Fazenda;CodAnimal;Sexo;Nascimento;Idade;Raça;Pelagem;Mãe;Lote;Pasto
BARRACÃO;1113;F;01/01/2018; >72m;NELORE;BRANCA;;Geral;Geral
BARRACÃO;1154;F;01/03/2021;60-72m;NELORE;BRANCA;;Geral;Geral
